nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
78,PL1845,Clair 6in Gas Export/import,GAS,ACTIVE,10.1,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,235.0,146.3,11.0,0.2,23.601325,168.3,6.667645,4.332355,0.39385,0.60615,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
79,PL1647,"GE 9"" PROD FLEXIBLE 2",MIXED HYDROCARBONS,ACTIVE,0.220925,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,228.6,35.3,0.2,18.101325,299.2,9.091257,26.208743,0.742457,0.257543,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
80,PL1431,8in Gas Lift / Export Pipeline L21,GAS,ACTIVE,6.601,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,182.5,18.3,0.2,25.801325,219.1,9.489348,8.810652,0.481456,0.518544,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
81,PL3466,West Gas Jumper from Manifold M25 to Manifold M125,GAS,ACTIVE,0.149,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,152.0,33.0,0.2,25.801325,218.0,9.441706,23.558294,0.713888,0.286112,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
82,PL3037,PL3037 - GEAD EXPORT SSIV TO GEAD PLEM,GAS,ACTIVE,17.985015,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,180.0,146.3,10.9,0.2,18.101325,168.1,5.107755,5.792245,0.531399,0.468601,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
83,PL1252,THELMA TEST PIPELINE,MIXED HYDROCARBONS,ACTIVE,11.825,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,290.0,144.9,11.7,0.2,29.101325,168.3,8.221458,3.478542,0.297311,0.702689,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
84,PL1357JW123,W123 to Machar Production Manifold 6in Production Line,MIXED HYDROCARBONS,ACTIVE,2.957,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,215.0,237.1,18.0,0.2,21.601325,273.1,9.90271,8.09729,0.449849,0.550151,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
85,PL1385,FPSO - 10in Production Flowline - 10in Flowline L3,MIXED HYDROCARBONS,NOT IN USE,19.955,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,98.5,7.9,0.2,25.801325,114.3,4.950399,2.949601,0.373367,0.626633,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
86,PL3081JMDC2,STELLA MDC TO WELL A2Z (SCP3) GAS LIFT LINE,GAS,ACTIVE,0.099,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,421.0,50.8,14.3,0.2,42.201325,79.4,5.62469,8.67531,0.606665,0.393335,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
87,PL6018,"PL6018 DISCONNECTED GE MANIFOLD to GE-03 XMAS TREE 6"" FLEXIBLE JUMPER",MIXED HYDROCARBONS,NOT IN USE,0.054,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,200.0,152.4,33.05,0.2,20.101325,218.5,7.372726,25.677274,0.776922,0.223078,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
